State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Sex_Ratio,Literacy_Rate
Rajasthan,Dausa,26.91234817629181,76.57342097264443,109,1634409,857787,776622,938051,596935,341116,684495,398151,286344,506214,178281,949914,390960,76277,17185,200073,1582335,45488,439,296,94,3737,115,1905,35600,195277,1719,14539,361084,59610,420694,229035,235474,208537,135234,92559,90833,13764,1005436,681980,1687416,905.0,57.39
Rajasthan,Dhaulpur,26.72397054945053,77.74476219780222,106,1206516,653647,552869,683098,435721,247377,523212,339110,184102,317617,205595,683304,229936,74342,12721,206213,1127520,72258,688,1356,92,2739,21,1842,24561,96086,1330,9504,214670,58626,273296,207566,172914,132964,77360,45590,37856,8194,682444,552106,1234550,846.0,56.62
Rajasthan,Dungarpur,23.75104807692308,73.84765641025645,124,1388552,696532,692020,681591,415820,265771,641515,346624,294891,216411,425104,747037,227849,184330,12514,216822,1340065,28662,830,240,226,16141,853,1535,26351,141275,1477,11742,322816,31547,354363,238847,175059,114245,60656,42887,39312,4834,675840,764563,1440403,994.0,49.09
Rajasthan,Ganganagar,29.256785412667963,73.56192303262948,99,1969168,1043340,925828,1193343,710908,482435,912672,596320,316352,680563,232109,1056496,268297,230438,13790,400147,1437144,50688,2077,474853,938,1988,164,1316,88543,283142,6295,24901,397697,164897,562594,237042,314107,238397,163098,105734,104071,19396,1181845,710223,1892068,887.0,60.6
Rajasthan,Hanumangarh,29.1813351791531,74.74632573289902,100,1774692,931184,843508,1034136,624281,409855,835260,512802,322458,642109,193151,939432,370452,166833,13839,284136,1433067,118673,1542,216997,241,1935,138,2099,55515,243163,3360,16217,389059,108694,497753,239601,273441,219194,153628,104087,84185,14416,1088552,723454,1812006,906.0,58.27
Rajasthan,Jaipur,27.033459290187885,75.77117286012533,110,6626178,3468507,3157671,4300965,2554793,1746172,2464893,1714947,749946,2060010,404883,4161285,744374,131523,91011,1497985,5819980,687452,12708,18782,1020,81079,257,4900,570997,990085,76565,182350,754841,977838,1732679,819004,875940,823570,659389,455527,703673,96562,4433665,2046038,6479703,910.0,64.91
Rajasthan,Jaisalmer,26.86900838548185,71.18371877346682,114,669919,361708,308211,308653,210415,98238,288903,182565,106338,175383,113520,381016,132466,43872,6835,105730,497045,168129,874,1723,98,1521,34,495,12431,43141,754,7416,159117,30830,189947,109484,71132,41264,20142,12759,10604,1720,267105,397649,664754,852.0,46.07
Rajasthan,Jalor,25.07578093797277,72.18647261724662,116,1828730,936634,892096,829582,543923,285659,896644,494906,401738,660719,235925,932086,493355,158013,21867,223409,1732852,78990,730,231,144,14640,82,1061,39745,161845,1585,12794,419216,48202,467418,270997,277152,181691,75304,32366,25210,7850,870570,1033534,1904104,952.0,45.36
Rajasthan,Jhalawar,24.24725541474657,76.11242891705065,129,1411129,725143,685986,739792,466815,272977,685950,402825,283125,475653,210297,725179,328714,209772,11199,136265,1299751,96164,842,819,46,12488,42,977,38909,220428,1750,9403,298624,63763,362387,226614,203488,143108,73388,46267,47985,6972,747822,696680,1444502,946.0,52.43
Rajasthan,Jhunjhunun,28.13517401247401,75.52840893970894,103,2137045,1095896,1041149,1370360,815834,554526,894649,541392,353257,592813,301836,1242396,521692,68878,13472,290607,1905682,228178,1004,275,56,548,85,1217,131987,297559,4828,24178,500452,150357,650809,296093,305626,301866,256621,192240,158936,25286,1536668,712584,2249252,950.0,64.12
Rajasthan,Jodhpur,26.678460838536967,73.00450847457628,113,3687165,1923928,1763237,2031532,1265753,765779,1489741,965103,524638,1056479,433262,2197424,592370,242017,42412,612942,3224399,411558,6035,4123,514,36697,80,3759,197135,408808,19335,54808,584215,307442,891657,497762,512035,405132,259304,154789,177199,30720,2036941,1591957,3628898,916.0,55.1
Rajasthan,Karauli,26.51901555555556,76.96081818181815,107,1458248,783639,674609,805849,531904,273945,628726,371058,257668,438337,190389,829522,335302,115367,9521,168536,1370977,81553,602,297,70,3424,413,912,28296,132079,1059,13045,305047,59308,364355,220644,193938,170399,104208,69443,67639,14402,840673,668926,1509599,861.0,55.26
Rajasthan,Kota,25.175718080000014,76.18618928000001,127,1951014,1021161,929853,1298345,765396,532949,748811,534650,214161,577548,171263,1202203,140262,134992,25125,448432,1661307,243993,5665,11058,280,25742,286,2683,165563,339899,12843,36297,203454,311735,515189,286676,294591,250092,172538,118710,167778,27485,1317870,588142,1906012,911.0,66.55
Rajasthan,Nagaur,27.07862016048146,74.14215667001012,112,3307743,1696325,1611418,1758624,1102750,655874,1425882,857031,568851,985927,439955,1881861,734614,263401,29647,398220,2833443,454487,1912,366,163,12940,276,4156,97267,347344,4449,35328,675712,166489,842201,513871,486057,388822,242053,147701,117444,14853,1910801,1533137,3443938,950.0,53.17
Rajasthan,Pali,25.80490393541874,73.55285640766907,118,2037573,1025422,1012151,1085693,667381,418312,842327,523077,319250,605288,237039,1195246,243491,237280,26119,335437,1870543,143476,1345,1540,141,18974,52,1502,94821,326793,4043,19270,512909,139808,652717,293818,359329,271312,144581,71472,67021,9403,1216936,983050,2199986,987.0,53.28
Rajasthan,Rajsamand,25.24894767441859,73.96570215946844,123,1156597,581339,575258,619139,383334,235805,550831,319534,231297,362584,188247,605766,207582,106587,13505,223157,1105676,33677,759,260,100,14966,68,1091,36073,193276,1989,9222,304622,61054,365676,190090,190388,140839,72969,41063,34286,4732,674367,544517,1218884,990.0,53.53
Rajasthan,Sawai Madhopur,26.251081180223288,76.4219283891548,108,1335551,704031,631520,741748,486184,255564,578068,343802,234266,418555,159513,757483,313358,88804,12070,163836,1165505,155681,945,812,177,9991,42,2398,40116,140947,1887,14310,282057,71264,353321,205450,172925,151108,87349,57625,70870,14384,759711,586492,1346203,897.0,55.54
Rajasthan,Sikar,27.64644058641976,75.29317422839503,111,2677333,1374990,1302343,1652117,995275,656842,1006504,657854,348650,698711,307793,1670829,501311,87889,22776,394528,2342076,327583,1122,356,177,4050,15,1954,131342,339457,5647,28382,527560,178274,705834,369959,438872,367412,282595,200430,181282,19321,1859871,967497,2827368,947.0,61.71
Rajasthan,Sirohi,24.7976905263158,72.75309131578943,117,1036346,534231,502115,476806,309900,166906,419829,272196,147633,313292,106537,616517,124080,97823,9443,188483,996562,30479,1284,572,114,6829,56,450,47182,134089,2146,10297,238535,69639,308174,117971,147381,110385,58213,30724,27076,5251,497001,577092,1074093,940.0,46.01
Rajasthan,Tonk,26.153935071707927,75.79192216427637,120,1421326,728136,693190,749659,478329,271330,649161,371848,277313,495797,153364,772165,326083,113426,16004,193648,1243527,153146,754,378,122,22458,30,911,32359,158264,1908,12482,298911,81755,380666,237191,190750,154825,91853,64431,67155,9919,816124,661902,1478026,952.0,52.74
Rajasthan,Udaipur,24.44076752136749,73.84029839743584,130,3068420,1566801,1501619,1582629,973444,609185,1365783,835839,529944,822355,543428,1702637,539106,302968,33535,490174,2869976,104307,7406,4278,209,78647,373,3224,128320,357846,14211,48517,665449,182769,848218,442946,386075,277392,164290,102085,142672,20010,1535470,1528671,3064141,958.0,51.58
Sikkim,East,27.29600352941175,88.74908392156858,93,1709346,907500,801846,1352998,748382,604616,579692,486951,92741,555026,24666,1129654,1156,3094,19541,555901,1410852,178807,15792,53027,2643,46927,366,932,327253,352758,80037,127465,1086,461132,462218,86484,219061,260094,267825,235187,246988,18644,1334283,169693,1503976,884.0,79.15
Tamil Nadu,Ariyalur,11.190514836795256,79.22249643916912,616,754894,374703,380191,480604,269582,211022,359851,212547,147304,272241,87610,395043,107312,166837,13564,72138,708397,7942,37403,104,88,65,42,853,39642,177502,1749,8371,223955,30322,254277,60697,134123,113437,96860,53934,57524,16126,532701,233438,766139,1015.0,63.67
Tamil Nadu,Chennai,13.058098905608748,80.28139151846806,603,4646732,2335844,2310888,3776276,1968079,1808197,1817297,1369302,447995,1619554,197743,2829435,14454,13674,37345,1751824,3751322,439270,358662,2851,2804,51708,1759,38356,910262,1096334,217368,355838,0,1314125,1314125,167207,516445,720331,801050,464207,905515,67277,3642032,419065,4061097,989.0,81.27
